time	                CAC40
18/08/1988 02:00	1303.38
19/08/1988 02:00	1307.78
22/08/1988 02:00	1308.15
23/08/1988 02:00	1294.18
24/08/1988 02:00	1306.67
25/08/1988 02:00	1284.56
26/08/1988 02:00	1279.1
29/08/1988 02:00	1280.26
30/08/1988 02:00	1286.81
31/08/1988 02:00	1291.34
01/09/1988 02:00	1277.51
02/09/1988 02:00	1287.35
05/09/1988 02:00	1289.42
06/09/1988 02:00	1289.9
07/09/1988 02:00	1305.09
08/09/1988 02:00	1301.81
09/09/1988 02:00	1301.37
12/09/1988 02:00	1311.85
13/09/1988 02:00	1333.62
14/09/1988 02:00	1367.67
15/09/1988 02:00	1365.96
16/09/1988 02:00	1364.64
19/09/1988 02:00	1367.33
20/09/1988 02:00	1365.07
21/09/1988 02:00	1388.95
22/09/1988 02:00	1405.91
23/09/1988 02:00	1386.23
26/09/1988 01:00	1402.78
27/09/1988 01:00	1393.45
28/09/1988 01:00	1398.19
29/09/1988 01:00	1416.68
30/09/1988 01:00	1416.83
03/10/1988 01:00	1420.89
04/10/1988 01:00	1431.87
05/10/1988 01:00	1432.29
06/10/1988 01:00	1434.62
07/10/1988 01:00	1440.22
10/10/1988 01:00	1439.49
11/10/1988 01:00	1411.27
12/10/1988 01:00	1405.4
13/10/1988 01:00	1423.58
14/10/1988 01:00	1437.03
17/10/1988 01:00	1418.08
18/10/1988 01:00	1428.16
19/10/1988 01:00	1451.75
20/10/1988 01:00	1449.94
21/10/1988 01:00	1456.11
24/10/1988 01:00	1463.79
25/10/1988 01:00	1467.4
26/10/1988 01:00	1473.84
27/10/1988 01:00	1476.86
28/10/1988 01:00	1496.07
02/11/1988 01:00	1506.72
03/11/1988 01:00	1499.94
04/11/1988 01:00	1501.6
07/11/1988 01:00	1484.7
08/11/1988 01:00	1496.56
09/11/1988 01:00	1488.06
10/11/1988 01:00	1492.35
14/11/1988 01:00	1469.81
15/11/1988 01:00	1466.97
16/11/1988 01:00	1480.57
17/11/1988 01:00	1470.99
18/11/1988 01:00	1471.58
21/11/1988 01:00	1459.72
22/11/1988 01:00	1455.7
23/11/1988 01:00	1470.42
24/11/1988 01:00	1479.43
25/11/1988 01:00	1472.96
28/11/1988 01:00	1466.39
29/11/1988 01:00	1464.82
30/11/1988 01:00	1478.2
01/12/1988 01:00	1474.71
02/12/1988 01:00	1468.25
05/12/1988 01:00	1462.11
06/12/1988 01:00	1468.93
07/12/1988 01:00	1476.36
08/12/1988 01:00	1478.52
09/12/1988 01:00	1495.92
12/12/1988 01:00	1500.35
13/12/1988 01:00	1489.59
14/12/1988 01:00	1483.3
15/12/1988 01:00	1471.7
16/12/1988 01:00	1475.48
19/12/1988 01:00	1478.54
20/12/1988 01:00	1494.83
21/12/1988 01:00	1503.96
22/12/1988 01:00	1526.08
23/12/1988 01:00	1537.18
27/12/1988 01:00	1545.57
28/12/1988 01:00	1546.04
29/12/1988 01:00	1559.75
30/12/1988 01:00	1577.26
03/01/1989 01:00	1582.28
04/01/1989 01:00	1593.01
05/01/1989 01:00	1625.46
06/01/1989 01:00	1656.17
09/01/1989 01:00	1633.36
11/01/1989 01:00	1617.76
12/01/1989 01:00	1646.11
13/01/1989 01:00	1653.91
17/01/1989 01:00	1635.5
18/01/1989 01:00	1626.09
19/01/1989 01:00	1643.76
20/01/1989 01:00	1643.3
23/01/1989 01:00	1634.21
25/01/1989 01:00	1677.54
26/01/1989 01:00	1663.33
27/01/1989 01:00	1678.52
30/01/1989 01:00	1674.3
31/01/1989 01:00	1648.34
02/02/1989 01:00	1686.53
03/02/1989 01:00	1691.65
06/02/1989 01:00	1672.28
07/02/1989 01:00	1675.34
08/02/1989 01:00	1703.7
09/02/1989 01:00	1701
10/02/1989 01:00	1682.87
13/02/1989 01:00	1650.65
14/02/1989 01:00	1645.79
15/02/1989 01:00	1616.22
16/02/1989 01:00	1629.06
17/02/1989 01:00	1610.92
20/02/1989 01:00	1628.2
21/02/1989 01:00	1645.82
22/02/1989 01:00	1628.33
23/02/1989 01:00	1587.5
24/02/1989 01:00	1580.76
27/02/1989 01:00	1537.43
28/02/1989 01:00	1571.02
01/03/1989 01:00	1574.08
02/03/1989 01:00	1581.86
06/03/1989 01:00	1627.61
07/03/1989 01:00	1618.58
08/03/1989 01:00	1607.08
09/03/1989 01:00	1609.4
10/03/1989 01:00	1600.07
13/03/1989 01:00	1602.28
14/03/1989 01:00	1622.11
15/03/1989 01:00	1631.02
16/03/1989 01:00	1637.76
17/03/1989 01:00	1606.03
20/03/1989 01:00	1600.13
21/03/1989 01:00	1623.48
22/03/1989 01:00	1622.72
23/03/1989 01:00	1624.92
28/03/1989 02:00	1633.74
29/03/1989 02:00	1642.06
30/03/1989 02:00	1640.72
31/03/1989 02:00	1641.32
03/04/1989 02:00	1655.11
04/04/1989 02:00	1660.9
05/04/1989 02:00	1660.49
06/04/1989 02:00	1653.76
07/04/1989 02:00	1648.12
10/04/1989 02:00	1656.02
11/04/1989 02:00	1664.12
13/04/1989 02:00	1665.14
14/04/1989 02:00	1681.36
18/04/1989 02:00	1701.04
19/04/1989 02:00	1706.65
20/04/1989 02:00	1695.39
21/04/1989 02:00	1700.44
24/04/1989 02:00	1698.67
25/04/1989 02:00	1688.37
26/04/1989 02:00	1667.17
27/04/1989 02:00	1673.87
28/04/1989 02:00	1680.53
02/05/1989 02:00	1679.85
03/05/1989 02:00	1668.48
05/05/1989 02:00	1676.79
09/05/1989 02:00	1672.61
10/05/1989 02:00	1660.93
11/05/1989 02:00	1655.74
12/05/1989 02:00	1674.27
16/05/1989 02:00	1666.79
17/05/1989 02:00	1655.9
18/05/1989 02:00	1658.02
19/05/1989 02:00	1674.77
22/05/1989 02:00	1678.94
23/05/1989 02:00	1675.72
24/05/1989 02:00	1689.6
25/05/1989 02:00	1716.15
26/05/1989 02:00	1720.92
29/05/1989 02:00	1719.74
